school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,G1,G2,G3
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,0,11,11
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,9,11,11
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,12,13,12
GP,F,,U,GT3,T,4,2,health,services,home,mother,14,14,14
GP,F,,U,GT3,T,3,3,other,other,home,father,11,13,13
GP,M,,U,LE3,T,4,3,services,other,reputation,mother,12,12,13
GP,M,,U,LE3,T,2,2,other,other,home,mother,13,12,13
GP,F,,U,GT3,A,4,4,other,teacher,home,mother,10,13,13
GP,M,15,U,LE3,A,3,2,services,other,home,mother,15,16,17
GP,M,15,U,GT3,T,3,4,other,other,home,mother,12,12,13
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,14,14,14
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,10,12,13
GP,M,15,U,LE3,T,4,4,health,services,course,father,12,13,12
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,12,12,13
GP,M,15,U,GT3,A,2,2,other,other,home,other,14,14,15
GP,F,16,U,GT3,T,4,4,health,other,home,mother,17,17,17
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,13,13,14
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,13,14,14
GP,M,17,U,GT3,T,3,2,services,services,course,mother,8,8,7
GP,M,16,U,LE3,T,4,3,health,other,home,father,12,12,12
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,12,13,14
GP,M,15,U,GT3,T,4,4,health,health,other,father,11,12,12
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,12,13,14
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,10,10,10
GP,F,15,R,GT3,T,2,4,services,health,course,mother,10,11,10
GP,F,16,U,GT3,T,2,2,services,services,home,mother,10,11,12
GP,M,15,U,GT3,T,2,2,other,other,home,mother,11,12,12
GP,M,15,U,GT3,T,4,2,health,services,other,mother,11,11,11
GP,M,16,U,LE3,A,3,4,services,other,home,mother,12,12,13
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,12,11,12
GP,M,15,U,GT3,T,4,4,health,services,home,mother,10,11,11
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,15,15,15
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,13,14,15
GP,M,15,U,LE3,T,3,3,other,other,course,mother,13,12,12
GP,M,16,U,GT3,T,3,2,other,other,home,mother,12,12,12
GP,F,15,U,GT3,T,2,3,other,other,other,father,11,11,11
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,14,14,14
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,13,13,13
GP,F,15,R,GT3,T,3,4,services,health,course,mother,11,12,12
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,14,13,12
GP,F,16,U,LE3,T,2,2,other,other,home,mother,11,11,10
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,10,11,11
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,14,15,15
GP,M,15,U,GT3,T,2,2,services,services,course,father,9,10,10
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,10,11,11
GP,F,15,U,LE3,A,4,3,other,other,course,mother,10,11,11
GP,F,16,U,LE3,A,3,3,other,services,home,mother,13,12,13
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,17,17,17
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,11,12,13
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,13,12,12
GP,F,16,U,LE3,T,2,2,services,services,course,mother,14,13,13
GP,F,15,U,LE3,T,4,2,health,other,other,mother,16,14,16
GP,M,15,U,LE3,A,4,2,health,health,other,father,10,9,9
GP,F,15,U,GT3,T,4,4,services,services,course,mother,13,12,12
GP,F,15,U,LE3,A,3,3,other,other,other,mother,13,12,13
GP,F,16,U,GT3,A,2,1,other,other,other,mother,12,13,12
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,15,14,15
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,15,15,16
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,14,13,14
GP,F,16,U,GT3,T,4,2,services,other,course,mother,16,15,16
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,17,16,16
GP,F,16,U,GT3,T,1,1,services,services,course,father,10,10,16
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,13,13,10
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,14,13,13
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,13,12,12
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,16,15,16
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,11,12,12
GP,F,16,U,GT3,T,3,1,services,other,course,mother,10,9,10
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,11,10,11
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,15,15,15
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,13,11,11
GP,M,15,U,GT3,T,4,2,other,other,course,mother,11,9,10
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,13,11,11
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,13,13,14
GP,F,16,U,GT3,T,3,3,other,services,home,mother,11,11,11
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,11,11,11
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,12,11,11
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,13,13,13
GP,M,17,U,GT3,T,2,1,other,other,home,mother,9,9,10
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,12,11,11
GP,M,15,U,GT3,T,2,3,other,services,course,father,11,11,12
GP,M,15,U,GT3,T,2,3,other,other,home,mother,10,9,9
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,12,11,11
GP,M,15,U,LE3,T,2,2,services,services,home,mother,13,12,13
GP,F,15,U,GT3,T,1,1,other,other,home,father,13,12,12
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,12,11,12
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,13,11,11
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,15,15,15
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,12,10,11
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,9,9,10
GP,F,16,U,GT3,T,3,3,other,other,home,mother,9,11,11
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,14,13,13
GP,F,16,U,LE3,T,3,1,other,other,home,father,12,13,12
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,13,14,14
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,11,12,12
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,13,13,13
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,9,11,11
GP,F,16,U,GT3,T,2,1,other,other,course,mother,13,12,12
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,12,13,13
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,12,13,13
GP,M,16,U,GT3,T,4,4,services,services,other,mother,9,9,8
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,16,16,16
GP,M,15,U,GT3,T,4,4,services,other,course,mother,12,13,12
GP,F,15,U,GT3,T,3,2,services,other,home,mother,11,10,10
GP,M,15,U,GT3,A,3,4,services,other,course,mother,16,16,16
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,10,10,10
GP,F,15,U,GT3,T,2,2,other,other,course,mother,10,10,10
GP,M,16,U,GT3,T,3,3,services,other,home,father,13,14,14
GP,M,15,R,GT3,T,4,4,other,other,home,father,12,10,11
GP,F,16,U,LE3,T,4,4,health,health,other,mother,15,15,14
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,13,14,14
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,11,11,11
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,8,10,10
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,18,17,18
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,10,9,10
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,16,14,14
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,16,15,16
GP,M,16,U,GT3,T,3,3,other,services,home,father,14,14,15
GP,M,17,R,GT3,T,1,3,other,other,course,father,12,11,11
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,14,13,14
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,14,14,14
GP,M,15,U,GT3,T,2,2,services,services,home,father,14,13,13
GP,F,16,U,LE3,T,2,4,other,health,course,father,14,12,13
GP,M,16,U,GT3,T,4,4,health,other,course,mother,12,13,13
GP,F,16,U,GT3,T,2,2,other,other,home,mother,12,11,11
GP,M,15,U,GT3,T,3,4,services,services,home,father,9,9,9
GP,F,15,U,LE3,A,3,4,other,other,home,mother,10,11,11
GP,F,19,U,GT3,T,0,1,at_home,other,course,other,9,10,11
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,14,14,15
GP,M,16,U,GT3,T,2,3,other,other,course,mother,13,12,13
GP,F,15,R,GT3,T,3,4,services,teacher,course,father,10,11,12
GP,F,18,U,GT3,T,2,1,services,other,reputation,mother,10,9,8
GP,F,17,U,LE3,A,2,1,other,other,course,mother,11,10,11
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,11,12,13
GP,F,17,U,LE3,T,2,2,other,other,course,father,13,12,12
GP,F,16,U,GT3,A,3,4,services,other,course,father,15,13,14
GP,M,16,U,GT3,T,2,1,at_home,other,course,mother,9,9,11
GP,F,16,U,GT3,A,2,2,other,other,home,mother,13,11,11
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,12,11,11
GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,13,14,15
GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,10,9,10
GP,F,16,R,GT3,T,1,1,at_home,other,course,mother,14,13,13
GP,M,18,U,LE3,T,3,1,services,services,course,mother,11,11,12
GP,F,18,U,GT3,A,3,2,other,services,course,other,12,11,11
GP,F,16,R,GT3,T,1,1,other,services,reputation,mother,12,11,11
GP,F,16,U,GT3,A,3,3,other,other,course,other,9,9,10
GP,M,16,U,LE3,T,1,1,services,other,course,mother,10,10,10
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,13,14,14
GP,F,15,R,GT3,T,1,1,other,other,course,mother,8,9,9
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,9,11,11
GP,F,15,U,GT3,A,3,3,services,services,home,mother,9,8,9
GP,M,16,U,GT3,T,4,4,services,services,course,mother,15,13,13
GP,M,16,U,LE3,T,2,2,services,services,reputation,father,12,11,11
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,13,13,13
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,10,11,11
GP,M,17,U,GT3,T,2,1,other,other,home,mother,9,7,6
GP,F,15,U,GT3,T,1,1,other,services,course,father,12,12,12
GP,F,15,U,LE3,A,2,1,at_home,other,home,mother,11,10,10
GP,F,15,U,GT3,T,3,2,health,services,home,father,11,11,11
GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,13,12,13
GP,F,15,U,GT3,T,1,2,at_home,services,course,father,11,11,11
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,9,9,8
GP,M,15,U,LE3,A,2,1,services,other,course,mother,12,11,11
GP,M,18,U,LE3,T,1,1,other,other,course,mother,11,9,0
GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,9,10,10
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,13,13,13
GP,M,19,U,GT3,T,3,2,services,at_home,home,mother,11,9,11
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,13,13,13
GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,7,8,8
GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,9,8,10
GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,11,10,11
GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,12,10,11
GP,M,16,U,GT3,T,3,3,other,services,course,father,10,10,1
GP,M,16,U,LE3,T,1,2,health,services,course,mother,9,8,10
GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,8,8,9
GP,M,17,R,GT3,T,3,2,other,other,course,mother,7,6,8
GP,M,15,U,LE3,T,1,2,other,other,course,mother,8,9,10
GP,M,16,U,GT3,T,1,3,at_home,services,course,father,9,8,8
GP,M,17,R,LE3,T,1,1,other,services,course,mother,8,8,8
GP,M,17,U,GT3,T,3,2,services,services,course,mother,8,7,8
GP,M,16,U,GT3,T,2,2,other,other,course,father,9,10,11
GP,F,16,U,GT3,T,4,2,health,services,home,father,17,17,18
GP,F,16,U,GT3,T,2,2,other,other,home,mother,12,12,13
GP,F,16,U,GT3,T,4,4,health,health,reputation,mother,16,16,17
GP,M,16,U,GT3,T,3,4,other,other,course,father,9,9,10
GP,M,16,U,GT3,T,1,0,other,other,reputation,mother,16,17,18
GP,M,17,U,LE3,T,4,4,teacher,other,reputation,mother,11,9,10
GP,F,16,U,GT3,T,1,3,at_home,services,home,mother,14,13,13
GP,F,16,U,LE3,T,3,3,other,other,reputation,mother,14,14,15
GP,M,17,U,LE3,T,4,3,teacher,other,course,mother,10,11,11
GP,F,16,U,GT3,T,2,2,services,other,reputation,mother,13,12,14
GP,M,17,U,GT3,T,3,3,other,other,reputation,father,11,9,10
GP,M,16,R,GT3,T,4,2,teacher,services,other,mother,10,9,11
GP,M,17,U,GT3,T,4,3,other,other,course,mother,11,11,13
GP,M,16,U,GT3,T,4,3,teacher,other,home,mother,11,10,11
GP,M,16,U,GT3,T,3,3,services,other,home,mother,11,12,13
GP,F,17,U,GT3,T,2,4,services,services,reputation,father,17,18,17
GP,F,17,U,LE3,T,3,3,other,other,reputation,mother,14,13,14
GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,14,15,16
GP,M,17,U,GT3,T,3,3,services,services,other,mother,11,13,14
GP,M,16,U,GT3,T,1,2,services,services,other,mother,10,9,11
GP,M,16,U,LE3,T,2,1,other,other,course,mother,13,14,16
GP,F,17,U,GT3,A,3,3,health,other,reputation,mother,12,13,14
GP,M,17,R,GT3,T,1,2,at_home,other,home,mother,9,9,10
GP,F,16,U,GT3,T,2,3,services,services,course,mother,12,12,13
GP,F,17,U,GT3,T,1,1,at_home,services,course,mother,12,11,12
GP,M,17,U,GT3,T,1,2,at_home,services,other,other,10,11,12
GP,M,16,R,GT3,T,3,3,services,services,reputation,mother,11,10,10
GP,M,16,U,GT3,T,2,3,other,other,home,father,13,12,12
GP,F,17,U,LE3,T,2,4,services,services,course,father,14,15,16
GP,M,17,U,GT3,T,4,4,services,teacher,home,mother,13,13,14
GP,M,16,R,LE3,T,3,3,teacher,other,home,father,10,11,12
GP,F,17,U,GT3,T,4,4,services,teacher,home,mother,14,15,16
GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,mother,11,10,11
GP,F,16,U,GT3,T,4,3,health,other,home,mother,14,14,15
GP,F,16,U,GT3,T,2,3,other,other,reputation,mother,11,12,12
GP,F,17,U,GT3,T,1,1,other,other,course,mother,14,15,15
GP,F,17,R,GT3,T,2,2,other,other,reputation,mother,13,13,13
GP,F,16,R,GT3,T,2,2,services,services,reputation,mother,13,13,13
GP,F,17,U,GT3,T,3,4,at_home,services,home,mother,8,9,8
GP,F,16,U,GT3,A,3,1,services,other,course,mother,11,11,12
GP,F,16,U,GT3,T,4,3,teacher,other,other,mother,14,15,15
GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,12,13,13
GP,F,17,R,GT3,T,4,3,teacher,other,reputation,mother,11,12,12
GP,F,19,U,GT3,T,3,3,other,other,reputation,other,12,12,12
GP,M,17,U,LE3,T,4,4,services,other,home,mother,13,12,12
GP,F,16,U,GT3,A,2,2,other,other,reputation,mother,13,13,13
GP,M,18,U,GT3,T,2,2,services,other,home,mother,12,11,11
GP,F,17,R,LE3,T,4,4,services,other,other,mother,12,11,11
GP,F,17,U,LE3,T,3,2,other,other,reputation,mother,14,16,15
GP,F,17,U,GT3,T,4,3,other,other,reputation,mother,11,9,10
GP,M,18,U,LE3,T,3,3,services,health,home,father,10,10,10
GP,F,17,U,GT3,T,2,3,at_home,other,home,father,12,13,13
GP,F,17,U,GT3,T,2,2,at_home,at_home,course,mother,12,12,13
GP,F,17,R,GT3,T,2,1,at_home,services,reputation,mother,11,10,11
GP,F,17,U,GT3,T,1,1,at_home,other,reputation,mother,12,12,12
GP,F,16,U,GT3,T,2,3,services,teacher,other,mother,13,13,14
GP,M,18,U,GT3,T,2,2,other,other,home,mother,10,9,10
GP,F,16,U,GT3,T,4,4,teacher,services,home,mother,15,16,16
GP,F,18,R,GT3,T,3,1,other,other,reputation,mother,8,8,8
GP,F,17,U,GT3,T,3,2,other,other,course,mother,17,18,17
GP,M,17,U,LE3,T,2,3,services,services,reputation,father,10,11,11
GP,M,18,U,LE3,T,2,1,at_home,other,course,mother,9,10,11
GP,F,17,U,GT3,A,2,1,other,other,course,mother,15,15,16
GP,F,17,U,LE3,T,4,3,health,other,reputation,father,14,12,12
GP,M,17,R,GT3,T,2,2,other,other,course,father,12,13,13
GP,M,17,U,GT3,T,4,4,teacher,teacher,reputation,mother,13,13,13
GP,M,16,U,GT3,T,4,4,health,other,reputation,father,13,13,14
GP,M,16,U,LE3,T,1,1,other,other,home,mother,9,9,9
GP,M,16,U,GT3,T,3,2,at_home,other,reputation,mother,12,12,12
GP,M,17,U,LE3,T,2,2,other,other,home,father,16,16,16
GP,F,16,U,GT3,T,2,1,other,other,home,mother,9,10,10
GP,F,16,U,GT3,A,4,1,other,other,home,mother,14,13,13
GP,F,18,U,LE3,A,2,4,services,other,course,mother,10,10,10
GP,F,18,U,LE3,T,2,2,at_home,services,course,mother,9,8,10
GP,F,18,U,GT3,T,3,3,other,other,course,mother,8,7,7
GP,M,18,U,GT3,T,2,2,other,at_home,course,other,7,8,8
GP,M,17,U,GT3,T,4,4,teacher,teacher,course,mother,10,8,9
GP,F,17,U,GT3,T,3,2,other,other,course,father,14,14,15
GP,F,17,U,LE3,T,1,1,at_home,at_home,course,mother,11,10,10
GP,F,16,U,GT3,T,1,2,other,other,course,mother,12,11,11
GP,F,17,R,GT3,T,2,1,at_home,services,course,mother,13,13,13
GP,F,17,R,LE3,A,1,4,other,other,course,other,9,9,8
GP,M,18,U,GT3,T,2,2,other,services,reputation,father,8,7,8
GP,F,17,U,LE3,A,2,2,other,other,home,mother,11,9,10
GP,F,17,R,LE3,T,1,1,at_home,other,course,mother,15,14,15
GP,F,17,U,LE3,A,4,2,teacher,other,course,mother,15,14,14
GP,M,17,U,LE3,T,4,3,health,other,course,mother,15,15,15
GP,M,17,R,LE3,A,4,4,teacher,other,course,mother,12,12,12
GP,M,16,U,LE3,T,4,3,teacher,other,course,mother,14,14,15
GP,M,16,U,GT3,T,4,4,services,services,course,mother,14,15,15
GP,F,17,U,GT3,T,4,4,teacher,services,course,mother,11,11,12
GP,M,17,R,GT3,T,1,1,other,other,home,father,13,14,15
GP,F,17,U,GT3,T,3,3,services,other,home,mother,11,11,11
GP,F,17,U,GT3,T,1,1,at_home,other,course,mother,10,9,10
GP,F,18,U,GT3,T,2,1,other,other,course,other,12,10,11
GP,M,16,U,GT3,T,2,1,other,other,course,mother,15,16,16
GP,F,17,U,GT3,T,1,1,other,services,course,father,11,10,11
GP,M,17,U,GT3,T,2,3,other,other,course,father,9,12,13
GP,M,22,U,GT3,T,3,1,services,services,other,mother,7,8,5
GP,M,18,R,LE3,T,3,3,other,services,course,mother,10,9,10
GP,M,16,U,GT3,T,0,2,other,other,other,mother,11,12,11
GP,M,18,U,GT3,T,3,2,services,other,course,mother,7,8,7
GP,M,16,U,GT3,T,3,3,at_home,other,reputation,other,9,11,10
GP,M,18,U,GT3,T,2,1,services,services,other,mother,7,8,6
GP,M,16,R,GT3,T,2,1,other,other,course,mother,14,13,12
GP,M,17,R,GT3,T,2,1,other,other,course,mother,12,12,13
GP,M,17,U,LE3,T,1,1,health,other,course,mother,9,10,10
GP,F,18,U,LE3,A,2,1,other,other,course,mother,12,12,13
GP,F,17,U,LE3,T,4,2,teacher,services,reputation,mother,14,15,17
GP,F,19,U,GT3,T,2,2,services,services,home,mother,10,10,11
GP,M,18,U,LE3,T,2,1,services,other,course,mother,11,10,11
GP,F,17,R,GT3,T,4,2,other,other,course,mother,11,12,14
GP,F,18,U,LE3,T,1,1,other,at_home,home,mother,11,12,14
GP,F,18,R,GT3,T,2,2,other,other,home,mother,11,11,13
GP,M,19,U,LE3,A,4,3,services,at_home,reputation,mother,11,13,14
GP,M,18,U,GT3,T,2,1,other,other,home,mother,16,16,16
GP,M,17,R,GT3,T,2,2,other,services,other,mother,9,10,10
GP,F,17,U,LE3,T,2,2,services,services,course,father,10,11,12
GP,F,20,R,GT3,T,2,1,other,other,course,other,10,12,12
GP,F,18,U,GT3,T,4,3,services,other,home,father,15,15,15
GP,M,18,U,GT3,T,4,3,teacher,other,course,mother,10,10,11
GP,M,18,R,GT3,T,3,2,other,other,course,mother,10,11,12
GP,F,17,U,GT3,T,3,3,other,other,home,mother,15,12,13
GP,F,18,U,GT3,T,2,2,at_home,services,home,mother,11,12,13
GP,M,17,U,GT3,T,2,2,other,other,home,father,8,8,9
GP,M,18,R,LE3,A,3,4,other,other,reputation,mother,15,16,16
GP,M,17,U,GT3,T,3,1,services,other,other,mother,11,11,14
GP,F,18,R,GT3,T,4,4,teacher,other,reputation,mother,10,11,12
GP,M,18,U,GT3,T,4,2,health,other,reputation,father,10,12,14
GP,F,18,R,GT3,T,2,1,other,other,reputation,mother,8,9,10
GP,F,19,U,GT3,T,3,3,other,services,home,other,11,12,12
GP,F,18,U,GT3,T,2,3,other,services,reputation,father,16,16,16
GP,F,18,U,LE3,T,1,1,other,other,home,mother,13,13,13
GP,M,17,R,GT3,T,1,2,at_home,at_home,home,mother,16,17,18
GP,F,18,U,GT3,T,2,1,other,other,home,mother,14,14,15
GP,F,17,U,GT3,T,2,4,at_home,health,reputation,mother,15,16,16
GP,F,17,U,LE3,T,2,2,services,other,course,mother,12,12,12
GP,F,18,R,GT3,A,3,2,other,services,home,mother,12,9,10
GP,M,18,U,GT3,T,4,4,teacher,services,home,mother,11,12,12
GP,F,18,U,GT3,T,4,4,health,health,reputation,father,14,12,13
GP,F,17,U,GT3,T,2,2,other,services,reputation,father,13,15,15
